Destination,Month,RoomType,Stars,PricePerNight
"Barcelona",6,"Standard",0,1727
"Barcelona",6,"Standard",0,5
"Barcelona",6,"Standard",0,1605
"Barcelona",6,"Standard",0,15
"Barcelona",6,"Standard",0,1265
"Barcelona",6,"Standard",0,1256
"Barcelona",6,"Standard",0,1716
"Barcelona",6,"Standard",0,14
"Barcelona",6,"Standard",0,1630
"Barcelona",6,"Standard",0,2286
"Barcelona",6,"Standard",0,1679
"Barcelona",6,"Standard",0,1202
"Barcelona",6,"Standard",0,1340
"Barcelona",6,"Standard",0,10
"Barcelona",6,"Standard",0,1649
"Barcelona",6,"Standard",0,2200
"Barcelona",6,"Standard",0,4178
"Barcelona",6,"Standard",0,15
"Barcelona",6,"Standard",0,1211
"Barcelona",6,"Standard",0,2774
"Barcelona",6,"Standard",0,300
"Barcelona",6,"Standard",0,1557
"Barcelona",6,"Standard",0,2505
"Barcelona",6,"Standard",0,1724
"Barcelona",6,"Standard",0,1715
"Barcelona",6,"Standard",0,740
"Barcelona",6,"Standard",0,1474
"Barcelona",6,"Standard",0,1544
"Barcelona",6,"Standard",0,1351
"Barcelona",6,"Standard",0,1069
"Barcelona",6,"Standard",0,2
"Barcelona",6,"Standard",0,2178
"Barcelona",6,"Standard",0,2589
"Barcelona",6,"Standard",0,2186
"Barcelona",6,"Standard",0,12
"Barcelona",6,"Standard",0,1523
"Barcelona",6,"Standard",0,2208
"Barcelona",6,"Standard",0,250
"Barcelona",6,"Standard",0,1440
"Barcelona",6,"Standard",0,1850
"Barcelona",6,"Standard",0,1370
"Barcelona",6,"Standard",0,13
"Barcelona",6,"Standard",0,1010
"Barcelona",6,"Standard",0,1838
"Barcelona",6,"Standard",0,1806
"Barcelona",6,"Standard",0,1766
"Barcelona",6,"Standard",0,15
"Barcelona",6,"Standard",0,1050
"Barcelona",6,"Standard",0,1070
"Barcelona",6,"Standard",0,12
"Barcelona",6,"Standard",0,1448
"Barcelona",6,"Standard",0,2435
"Barcelona",6,"Standard",0,17
"Barcelona",6,"Standard",0,1735
"Barcelona",6,"Standard",0,1569
"Barcelona",6,"Standard",0,2
"Barcelona",6,"Standard",0,3045
"Barcelona",6,"Standard",0,13
"Barcelona",6,"Standard",0,790
"Barcelona",6,"Standard",0,11
"Barcelona",6,"Standard",0,1332
"Barcelona",6,"Standard",0,1950
"Barcelona",6,"Standard",0,11
"Barcelona",6,"Standard",0,1157
"Barcelona",6,"Standard",0,1076
"Barcelona",6,"Standard",0,10
"Barcelona",6,"Standard",0,1728
"Barcelona",6,"Standard",0,3603
"Barcelona",6,"Standard",0,2861
"Barcelona",6,"Standard",0,2435
"Barcelona",6,"Standard",0,1701
"Barcelona",6,"Standard",0,1968
"Barcelona",6,"Standard",0,700
"Barcelona",6,"Standard",0,1864
"Barcelona",6,"Standard",0,2446
"Barcelona",6,"Standard",0,2947
"Barcelona",6,"Standard",0,2435
"Barcelona",6,"Standard",0,17
"Barcelona",6,"Standard",0,1783
"Barcelona",6,"Standard",0,200
"Barcelona",6,"Standard",0,2078
"Barcelona",6,"Standard",0,11
"Barcelona",6,"Standard",0,1065
"Barcelona",6,"Standard",0,13
"Barcelona",6,"Standard",0,2433
"Barcelona",6,"Standard",0,1561
"Barcelona",6,"Standard",0,1538
"Barcelona",6,"Standard",0,1471
"Barcelona",6,"Standard",0,300
"Barcelona",6,"Standard",0,1872
"Barcelona",6,"Standard",0,2179
"Barcelona",6,"Standard",0,700
"Barcelona",6,"Standard",0,2630
"Barcelona",6,"Standard",0,2081
"Barcelona",6,"Standard",0,1718
"Barcelona",6,"Standard",0,14
"Barcelona",6,"Standard",0,1506
"Barcelona",6,"Standard",0,1270
"Barcelona",6,"Standard",0,5.5
"Barcelona",6,"Standard",0,1677
"Barcelona",6,"Standard",0,2667
"Barcelona",6,"Standard",0,11
"Barcelona",6,"Standard",0,2482
"Barcelona",6,"Standard",0,11
"Barcelona",6,"Standard",0,1472
"Barcelona",6,"Standard",0,13
"Barcelona",6,"Standard",0,1570
"Barcelona",6,"Standard",0,13
"Barcelona",6,"Standard",0,1921
"Barcelona",6,"Standard",0,1450
"Barcelona",6,"Standard",0,25
"Barcelona",6,"Standard",0,2227
"Barcelona",6,"Standard",0,14
"Barcelona",6,"Standard",0,1125
"Barcelona",6,"Standard",0,2363
"Barcelona",6,"Standard",0,50015
"Barcelona",6,"Standard",0,1349
"Barcelona",6,"Standard",0,2788
"Barcelona",6,"Standard",0,2090
"Barcelona",6,"Standard",0,15
"Barcelona",6,"Standard",0,2371
"Barcelona",6,"Standard",0,12
"Barcelona",6,"Standard",0,1070
"Barcelona",6,"Standard",0,1061
"Barcelona",6,"Standard",0,5
"Barcelona",6,"Standard",0,2584
"Barcelona",6,"Standard",0,11
"Barcelona",6,"Standard",0,1724
"Barcelona",6,"Standard",0,11
"Barcelona",6,"Standard",0,1686
"Barcelona",6,"Standard",0,11
"Barcelona",6,"Standard",0,2975
"Barcelona",6,"Standard",0,2086
"Barcelona",6,"Standard",0,147
"Barcelona",6,"Standard",0,3373
"Barcelona",6,"Standard",0,2493
"Barcelona",6,"Standard",0,12
"Barcelona",6,"Standard",0,2910
"Barcelona",6,"Standard",0,650
"Barcelona",6,"Standard",0,2659
"Barcelona",6,"Standard",0,1665
"Barcelona",6,"Standard",0,2215
"Barcelona",6,"Standard",0,16
"Barcelona",6,"Standard",0,1383
"Barcelona",6,"Standard",0,1908
"Barcelona",6,"Standard",0,16
"Barcelona",6,"Standard",0,1703
"Barcelona",6,"Standard",0,16
"Barcelona",6,"Standard",0,3485
"Barcelona",6,"Standard",0,2116
"Barcelona",6,"Standard",0,150
"Barcelona",6,"Standard",0,2589
"Barcelona",6,"Standard",0,2549
"Barcelona",6,"Standard",0,200
"Barcelona",6,"Standard",0,846
"Barcelona",6,"Standard",0,2024
"Barcelona",6,"Standard",0,3191
"Barcelona",6,"Standard",0,790
"Barcelona",6,"Standard",0,13
"Barcelona",6,"Standard",0,2000
"Barcelona",6,"Standard",0,2584
"Barcelona",6,"Standard",0,1142
"Barcelona",6,"Standard",0,12
"Barcelona",6,"Standard",0,1674
"Barcelona",6,"Standard",0,1150
"Barcelona",6,"Standard",0,2882
"Barcelona",6,"Standard",0,15
"Barcelona",6,"Standard",0,4191
"Barcelona",6,"Standard",0,2955
"Barcelona",6,"Standard",0,16
"Barcelona",6,"Standard",0,1949
"Barcelona",6,"Standard",0,887
"Barcelona",6,"Standard",0,13
"Barcelona",6,"Standard",0,2174
"Barcelona",6,"Standard",0,1450
"Barcelona",6,"Standard",0,1053
"Barcelona",6,"Standard",0,3304
"Barcelona",6,"Standard",0,2618
"Barcelona",6,"Standard",0,12
"Barcelona",6,"Standard",0,2747
"Barcelona",6,"Standard",0,3533
